f,mse_fasrc,mse_scipy,mae_fasrc,mae_scipy
500,973619.1668083525,0.2546866040574042,881.3641606431402,0.4484361512614141
1000,3929132.7386900503,0.20282836246253325,1758.115169614188,0.3762212359969244
2000,15675211.197099984,0.12121974862182956,3506.301121679548,0.3218790756892833
3000,29812952.808729246,0.37025654869871333,4763.254045781261,0.5193935685762836
4000,56633251.56635207,0.12121974862190106,6561.899564211439,0.3071933087050636
5000,72481373.89760591,0.2411577574246187,7466.800166570434,0.403640998561765
6000,86786230.58344032,0.25092787133729644,7840.7714777278325,0.34752949771282926
6800,99270268.85711302,0.0430234842541253,8348.286813569675,0.18359945071061173
8000,147539185.83458185,0.12121974862045998,10645.517697176716,0.2897265923240745
